"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"Transport";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/raudteeveeremi-registreerimine/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/labilaskevoime-jaotamine/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/tegutsemise-ohutustunnistus/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/ehitusluba/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/kirjalik-nousolek";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://tja.ee/raudtee-registreerimine/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Riigilõivud / Maksud";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Toetus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/laevapereta_prahitud_laevade_registri_muudatus_ja_kustutamine.pdf";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/ajutise_liputunnistuse_valjastamine.pdf";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/laeva_nime_kooskolastamise_teenusstandard.pdf";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/public/Laeva_registreerimine_Eesti_lipu_alla_2015.pdf";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/navigatsioonimarkide-andmekogu/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/x-tee-keskkonnad/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dokumendivahetus/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"http://www.id.ee/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/turvaintsidendist-teavitamine/";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Transport";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=16544";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27112";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27124";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27125";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Side ja meedia";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.konkurentsiamet.ee/index.php?id=11084";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Eluase";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.konkurentsiamet.ee/index.php?id=18324";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.osutamistearv";0;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"http://mtr.mkm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Haridus";"Interaktiivne infoteenus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Kliendile tasuta";"hm@hm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"elen.ruus@hm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"elen.ruus@hm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"elen.ruus@hm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"elen.ruus@hm.ee";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Arhiivindus";"Konsultatsioon";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"http://www.ra.ee/et/noustamine/";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Arhiivindus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"http://www.ra.ee/et/arhivaalide-uleandmise-toimingud/";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"http://www.ra.ee/et/hindamine/";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"http://www.ra.ee/et/hindamine/";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Kliendile tasuta";"http://www.keskkonnaamet.ee/public/Teenusstandardid_2014/49._Hooldustoode_teostajate_registreerimine_FOKA.pdf";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.keskkonnaamet.ee/public/Teenusstandardid_2014/1._Ohtlike_jaatmete_kaitluslitsentsi_taotlemise_teenusstandard.pdf";"Epost.osutamistearv";NA;"Epost";"osutamistearv"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/eestis-ajutiselt-tegutsevad-valisettevotted-2/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/riigiloiv-8/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/kohustuslik-dokumentatsioon-3/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/onnetused-ja-haireteated/?highlight=%C3%B5nnetusest,teavitamine";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://tja.ee/mootevahendid-2/?tpl=1116";"Epost.rahulolu";0;"Epost";"rahulolu"
"Töökeskkond ja personal";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/onnetused-ja-haireteated/";"Epost.rahulolu";0;"Epost";"rahulolu"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Epost.rahulolu";0;"Epost";"rahulolu"
